#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0     358.963504793235
                   2                    0                  3.7                    0     1.36528094558348     358.963504793235
                   2                    0                  3.7                    0     1.35817199807744     348.216763307484
                   2                    0                  3.7                    0     1.35106305057141     337.470021821732
                   2                    0                  3.7                    0     1.34395410306537      326.72328033598
                   2                    0                  3.7                    0     1.33684515555933     315.976538850228
                   2                    0                  3.7                    0     1.32973620805329     305.229797364476
                   2                    0                  3.7                    0     1.32262726054725     294.483055878724
                   2                    0                  3.7                    0     1.31551831304122     283.736314392973
                   2                    0                  3.7                    0     1.30840936553518     272.989572907221
                   2                    0                  3.7                    0     1.30130041802914     262.242831421469
                   2                    0                  3.7                    0      1.2941914705231     251.496089935717
                   2                    0                  3.7                    0     1.28708252301707     240.749348449965
                   2                    0                  3.7                    0     1.27997357551103     230.002606964213
                   2                    0                  3.7                    0     1.27286462800499     219.255865478462
                   2                    0                  3.7                    0     1.26575568049895      208.50912399271
                   2                    0                  3.7                    0     1.25864673299292     197.762382506958
                   2                    0                  3.7                    0     1.25153778548688     187.015641021206
                   2                    0                  3.7                    0     1.24442883798084     176.268899535454
                   2                    0                  3.7                    0      1.2373198904748     165.522158049702
    1.47458553009196    0.103642058501316                  3.7                    0     1.23021094296876     154.775416563951
                   2                    0                6.359                    0     0.31305577753878     62.5025434408683
                   2                    0                6.359                    0    0.312723871659922     63.0167314005835
                   2                    0                6.359                    0    0.312391965781064     63.5309193602988
                   2                    0                6.359                    0    0.312060059902206     64.0451073200141
                   2                    0                6.359                    0    0.311728154023349     64.5592952797294
                   2                    0                6.359                    0    0.311396248144491     65.0734832394447
   0.697131700857902     4.97556808564971                6.359                    0    0.311064342265633       65.58767119916
                   2                    0                  3.7                    0     1.36818009287459     358.996725632817
                   2                    0                  3.7                    0     1.36817200778405     358.991497576351
                   2                    0                  3.7                    0     1.36816392269351     358.986269519884
                   2                    0                  3.7                    0     1.36815583760298     358.981041463417
                   2                    0                  3.7                    0     1.36814775251244     358.975813406951
    2.00000000000001                    0                  3.7                    0      1.3681396674219     358.970585350484
                   2                    0                  3.7                    0     1.36813158233136     358.965357294018
                   2                    0                  3.7                    0     1.36812349724083     358.960129237551
                   2                    0                  3.7                    0     1.36811541215029     358.954901181084
                   2                    0                  3.7                    0     1.36810732705975     358.949673124618
                   2                    0                  3.7                    0     1.36809924196922     358.944445068151
                   2                    0                  3.7                    0     1.36809115687868     358.939217011684
                   2                    0                  3.7                    0     1.36808307178814     358.933988955218
                   2                    0                  3.7                    0     1.36807498669761     358.928760898751
                   2                    0                  3.7                    0     1.36806690160707     358.923532842285
                   2                    0                  3.7                    0     1.36805881651653     358.918304785818
                   2                    0                  3.7                    0     1.36805073142599     358.913076729351
                   2                    0                  3.7                    0     1.36804264633546     358.907848672885
                   2                    0                  3.7                    0     1.36803456124492     358.902620616418
   0.514385106751831      4.9374047420428                  3.7                    0     1.36802647615438     358.897392559951
                   2                    0                6.359                    0    0.300655051857479     2.82936501124984
     1.9226326963153   0.0857870492601697                6.359                    0    0.298577962206257     351.445326692324
                   2                    0                  3.7                    0     1.23018658609833     358.924562998904
                   2                    0                  3.7                    0     1.23018140727536     352.584662455551
                   2                    0                  3.7                    0     1.23017622845238     346.244761912199
                   2                    0                  3.7                    0     1.23017104962941     339.904861368847
                   2                    0                  3.7                    0     1.23016587080644     333.564960825495
                   2                    0                  3.7                    0     1.23016069198346     327.225060282143
                   2                    0                  3.7                    0     1.23015551316049     320.885159738791
                   2                    0                  3.7                    0     1.23015033433752     314.545259195439
                   2                    0                  3.7                    0     1.23014515551454     308.205358652087
                   2                    0                  3.7                    0     1.23013997669157     301.865458108735
                   2                    0                  3.7                    0      1.2301347978686     295.525557565382
                   2                    0                  3.7                    0     1.23012961904562      289.18565702203
                   2                    0                  3.7                    0     1.23012444022265     282.845756478678
