#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                 5.9                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.90000000000001                    1                  3.7                    0                  1.3                  270
    3.85999999999999                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999999                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.90000000000001                    1                  3.7                    0                  1.3                  270
    3.85999999999999                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.90000000000003                    1                  3.7                    0                  1.3                  270
    9.99999999999997                    0                6.359                    0                  0.3                  270
    1.50000000000003                    1                6.359                    0                  0.3                  270
    9.99999999999997                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.90000000000001                    1                  3.7                    0                  1.3                  270
    3.86000000000001                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
    3.86000000000001                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
    3.86000000000001                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3               323.85
                  10                    0                  3.7                    0                  1.3                305.9
                  10                    0                  3.7                    0                  1.3               287.95
    5.89999999999998                    1                  3.7                    0                  1.3                  270
    3.86000000000001                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
    3.86000000000001                    1                6.359                    0                  0.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
                  10                    0                  3.7                    0                  1.3                  270
    5.89999999999998                    1                  3.7                    0                  1.3                  270
                  10                    0                6.359                    0                  0.3                  270
                 1.5                    1                6.359                    0                  0.3                  270
                   0                    0                    0                    0                    0                  270
