#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0     296.493695844912
                  10                    0                  3.7                    0     1.04261053306194     296.493695844912
                  10                    0                  3.7                    0     1.13899160371332     279.473541617915
                  10                    0                  3.7                    0      1.2353726743647     262.453387390917
    8.83912221876261     3.82410954848481                  3.7                    0     1.33175374501608     245.433233163919
                  10                    0                6.359                    0    0.260945609498816     333.918651381698
    2.69555199414461     11.1905244798404                6.359                    0    0.356553365333902     96.8786880486596
                  10                    0                  3.7                    0     1.34945167489993     319.252542398905
                  10                    0                  3.7                    0     1.41845874052079      282.32178826194
                  10                    0                  3.7                    0     1.48746580614166     245.391034124975
    5.15297663357646    0.216742639048789                  3.7                    0     1.55647287176252      208.46027998801
     4.2496577328281     10.3058002089104                6.359                    0     0.35965657092158     115.880300977236
                  10                    0                  3.7                    0     1.45473097726374     355.060280776382
                  10                    0                  3.7                    0     1.48979712242674     306.876885391895
                  10                    0                  3.7                    0     1.52486326758974     258.693490007408
    8.08696481467808     16.1795275101368                  3.7                    0     1.55992941275273     210.510094622921
                  10                    0                6.359                    0    0.357568121705679     181.298094329358
     2.6322710635705     2.73322137810182                6.359                    0    0.352449301027673     77.9939116874449
                  10                    0                  3.7                    0     1.24773411305796     358.910763105752
                  10                    0                  3.7                    0     1.18414903194616     288.472893960961
                  10                    0                  3.7                    0     1.12056395083435     218.035024816171
     6.3055620126288    0.414779745237889                  3.7                    0     1.05697886972255     147.597155671381
    4.24541915808231     5.44274561521579                6.359                    0    0.359809566929722     114.737674904473
                  10                    0                  3.7                    0     1.35984916371924      358.58005768567
                  10                    0                  3.7                    0     1.42405291066587     294.353686895942
                  10                    0                  3.7                    0      1.4882566576125     230.127316106213
    2.31200798801791     9.07782526803578                  3.7                    0     1.55246040455912     165.900945316485
                  10                    0                6.359                    0    0.356676705401288     84.6191012173055
    2.69562431428392    0.186710843929779                6.359                    0    0.354855373828184     102.967767265853
                  10                    0                  3.7                    0     1.04063976689705     327.842296065807
                  10                    0                  3.7                    0     1.13551524894632     304.084983167903
                  10                    0                  3.7                    0      1.2303907309956     280.327670269998
    3.97434600084097    0.241711947478506                  3.7                    0     1.32526621304488     256.570357372094
    3.47217417412912     14.0852775053149                6.359                    0      0.3599329604441     5.81645520533403
                  10                    0                  3.7                    0     1.55976831817284     127.156055964118
                  10                    0                  3.7                    0     1.55982477158937     190.065105925562
                  10                    0                  3.7                    0     1.55988122500591     252.974155887005
    8.94459117842581    0.051210953187861                  3.7                    0     1.55993767842245     315.883205848448
                  10                    0                6.359                    0    0.258281106639161     358.643926446049
    2.53464754637349   0.0979911573836681                6.359                    0    0.357341860324612     357.801796684407
                  10                    0                  3.7                    0      1.4628103347318     120.839270515699
                  10                    0                  3.7                    0     1.32489891227392     200.174908250766
                  10                    0                  3.7                    0     1.18698748981605     279.510545985833
    9.16969060785226    0.200623761750781                  3.7                    0     1.04907606735818       358.8461837209
    4.00588889281272    0.866042890977424                6.359                    0     0.35514041104475     115.059833098451
                  10                    0                  3.7                    0      1.0465907515639      358.96806167886
                  10                    0                  3.7                    0      1.0675989342054     314.177102642703
                  10                    0                  3.7                    0      1.0886071168469     269.386143606546
    6.31780679250949    0.254920214717331                  3.7                    0      1.1096152994884     224.595184570389
    9.99999999999994                    0                6.359                    0     0.35994293863701     105.772360495814
    0.55927782443365    0.260284424734964                6.359                    0    0.357581805341027     109.369324327194
    9.99999999999994                    0                  3.7                    0      1.0433023907848     358.829470858949
                  10                    0                  3.7                    0     1.04283421369978     338.385244537458
                  10                    0                  3.7                    0     1.04236603661475     317.941018215967
    2.32127851751483    0.207126899720647                  3.7                    0     1.04189785952973     297.496791894476
    3.99658529980616     19.9969206636022                6.359                    0    0.359575223794374    0.498518736180711
    9.99999999999994                    0                  3.7                    0     1.13049586744099      203.81965383011
                  10                    0                  3.7                    0     1.11868621499179     173.796929201197
                  10                    0                  3.7                    0     1.10687656254258     143.774204572284
    4.68336531306517     16.8493688350866                  3.7                    0     1.09506691009337     113.751479943371
                  10                    0                6.359                    0    0.359917623996764     351.121743100455
    2.69808767994579     19.9936051122752                6.359                    0    0.359985046744638     160.178853367996
                  10                    0                  3.7                    0     1.04214907684494     306.864190502565
                  10                    0                  3.7                    0     1.04203527607434     310.554893651512
    9.99999999999994                    0                  3.7                    0     1.04192147530374     314.245596800459
    8.02740746419022     0.34975864076363                  3.7                    0     1.04180767453314     317.936299949406
     4.2498509168588     19.9878074156989                6.359                    0    0.355750828667747    0.634608997211217
    9.99999999999989                    0                  3.7                    0     1.04496549928814     256.994356205745
                  10                    0                  3.7                    0     1.06315727142708     201.390673761347
                  10                    0                  3.7                    0     1.08134904356601     145.786991316949
    6.28263051475403    0.232181482902823                  3.7                    0     1.09954081570494     90.1833088725508
    9.99999999999989                    0                6.359                    0    0.357726241668311     98.1359366130687
    2.69838617176549    0.220252041346413                6.359                    0    0.359878868450431     123.926357752232
                  10                    0                  3.7                    0     1.04184948455468     332.884987504718
                  10                    0                  3.7                    0     1.04222803027628     323.395965114758
                  10                    0                  3.7                    0     1.04260657599787     313.906942724798
     7.7906558450361      19.999978865984                  3.7                    0     1.04298512171947     304.417920334838
    4.24887816954561    0.167049028524635                6.359                    0    0.359708602622497     195.311002064785
    9.99999999999989                    0                  3.7                    0     1.04160518879575     231.095712164845
                  10                    0                  3.7                    0     1.04152133855453     248.266206532643
