#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0     324.191426531995
                  10                    0                  3.7                    0     1.39303143571808     324.191426531995
                  10                    0                  3.7                    0      1.3997881237807     331.475966718671
                  10                    0                  3.7                    0     1.40654481184332     338.760506905347
    6.56969614064342     3.11431958027606                  3.7                    0     1.41330149990594     346.045047092023
                  10                    0                6.359                    0    0.289961429851899     86.6581743743304
   0.885275628728408     8.09845681856754                6.359                    0    0.290676746433681     65.4554032536766
                  10                    0                  3.7                    0     1.19815175524907      358.49726602949
                  10                    0                  3.7                    0     1.22764023893798     241.171939420778
                  10                    0                  3.7                    0     1.25712872262689     123.846612812066
    8.07552980173031     2.82204933376441                  3.7                    0     1.28661720631579     6.52128620335395
    3.87872785843403       3.110704817016                6.359                    0    0.320439881617843     325.525728359427
                  10                    0                  3.7                    0     1.51376763463194     351.505166785094
                  10                    0                  3.7                    0     1.49524729850621     343.597112542662
                  10                    0                  3.7                    0     1.47672696238048      335.68905830023
    8.11818911948826     11.9016411195788                  3.7                    0     1.45820662625475     327.781004057798
                  10                    0                6.359                    0    0.300576676781084     306.221963502474
    1.36614365088144     1.78413419466994                6.359                    0    0.296702492692816     262.357282616712
                  10                    0                  3.7                    0     1.16022048790487     161.172381478283
                  10                    0                  3.7                    0     1.14896761904039     205.925233688293
                  10                    0                  3.7                    0     1.13771475017591     250.678085898303
    5.40866236965104     5.51264634878478                  3.7                    0     1.12646188131143     295.430938108313
    3.83292663040589     3.62025328546905                6.359                    0    0.291593951675505     312.606597323692
                  10                    0                  3.7                    0     1.24840269953442     46.2678546839684
                  10                    0                  3.7                    0     1.27427897246144     143.707659589417
                  10                    0                  3.7                    0     1.30015524538846     241.147464494865
    8.25405175174467     2.57309785079334                  3.7                    0     1.32603151831548     338.587269400314
                  10                    0                6.359                    0    0.299431566300226     263.818518456955
    1.19020486334156     2.84592117310712                6.359                    0    0.297011128960595     240.466204573867
                  10                    0                  3.7                    0     1.36257200485706     193.207170010448
                  10                    0                  3.7                    0     1.35402621645949     193.338405976283
                  10                    0                  3.7                    0     1.34548042806192     193.469641942117
    7.97828159073811      2.7835442320007                  3.7                    0     1.33693463966435     193.600877907951
    3.91294149584326     2.20717961887013                6.359                    0    0.298700880790209     125.661905357209
                  10                    0                  3.7                    0     1.21336259838555     347.157097617119
                  10                    0                  3.7                    0     1.19849034221562     346.826444713565
                  10                    0                  3.7                    0     1.18361808604569     346.495791810011
    7.95034885584471     2.10972654316953                  3.7                    0     1.16874582987576     346.165138906457
                  10                    0                6.359                    0    0.295382040911757     188.640598304615
    1.22351003358466     6.71654828728702                6.359                    0    0.295054319820493     192.077062987986
                  10                    0                  3.7                    0     1.08073759975384     353.073922568547
                  10                    0                  3.7                    0     1.08889865998169     351.363222493114
                  10                    0                  3.7                    0     1.09705972020954      349.65252241768
    6.60880338444127      2.9758754125613                  3.7                    0      1.1052207804374     347.941822342247
    3.87675367902523     2.52231574460041                6.359                    0    0.296432087020601     192.443608943454
                  10                    0                  3.7                    0      1.1842952413441     354.045365639636
                  10                    0                  3.7                    0     1.17735327333821     353.226032593722
                  10                    0                  3.7                    0     1.17041130533232     352.406699547808
    6.91986432712258     2.24057691213443                  3.7                    0     1.16346933732643     351.587366501895
    10.0000000000001                    0                6.359                    0    0.299339073365914     172.855485296571
    1.65384866061498      2.5695944069284                6.359                    0    0.294923914546363     233.678233633775
                  10                    0                  3.7                    0     1.07939528359351      352.36157893622
                  10                    0                  3.7                    0     1.10093018939699     346.166632437511
                  10                    0                  3.7                    0     1.12246509520048     339.971685938801
     5.6541332778437     2.65139474440412                  3.7                    0     1.14400000100396     333.776739440091
    3.90989350424093     2.83213723024225                6.359                    0    0.291377050752457     196.003051603996
                  10                    0                  3.7                    0     1.14769833366863     356.273150860652
