Q (1/A)	 Ref	 dRef (SD)	" dq(FWHM, 1/A)"
0.0107622	1.02577	0.0324807	0.000637547
0.0111478	0.970676	0.0214806	0.000660382
0.0115473	0.993393	0.0216506	0.000684035
0.011961	0.992462	0.0199317	0.000708534
0.0123895	1.0164	0.0181914	0.000733912
0.0128334	0.986366	0.0174093	0.000760197
0.0132932	0.949372	0.0169351	0.000787424
0.0137695	0.841936	0.014663	0.000815626
0.0142629	0.720158	0.0122159	0.000844838
0.0147739	0.557785	0.0109042	0.000875096
0.0153032	0.39347	0.00561162	0.000906437
0.0158515	0.248802	0.00433268	0.000938901
0.0164194	0.14073	0.00243133	0.000972527
0.0170077	0.0823879	0.00193577	0.00100736
0.0176171	0.0655087	0.00129092	0.00104344
0.0182483	0.0714279	0.00157164	0.0010808
0.0189021	0.0761803	0.00140484	0.00111951
0.0195793	0.0788311	0.00136387	0.00115961
0.0202808	0.070994	0.00142723	0.00120114
0.0210075	0.057706	0.00110168	0.00124415
0.0217601	0.0411734	0.000803773	0.00128871
0.0225398	0.0269858	0.000662406	0.00133486
0.0233473	0.0164401	0.000505688	0.00138267
0.0235841	0.0129459	0.000466332	0.00127618
0.0244291	0.00957505	0.000352908	0.00132191
0.0253044	0.00840726	0.000301801	0.00136927
0.026211	0.00864062	0.00031323	0.00141834
0.0271501	0.00882137	0.000272179	0.00146916
0.0281228	0.00804244	0.000265555	0.00152181
0.0291304	0.00607444	0.000185536	0.00157635
0.0301741	0.0046066	0.000158619	0.00163284
0.0312552	0.00328667	0.000124997	0.00169136
0.0323751	0.00281238	0.000110687	0.00175198
0.033535	0.00296024	0.000127717	0.00181477
0.0347365	0.00320436	0.000136324	0.00187983
0.0358914	0.0033088	0.000107423	0.00187191
0.0371773	0.0028389	9.10E-05	0.00193904
0.0385093	0.0019315	7.36E-05	0.00200858
0.0398891	0.00126904	5.36E-05	0.00208061
0.0413182	0.00111589	4.92E-05	0.00215525
0.0427986	0.00156961	5.26E-05	0.00223256
0.044332	0.00179798	5.21E-05	0.00231266
0.0459204	0.00176309	4.84E-05	0.00239564
0.0475656	0.00117892	3.67E-05	0.00248162
0.0492699	0.00080857	2.81E-05	0.00257069
0.0510351	0.000579042	2.44E-05	0.00266297
0.0528637	0.000618811	2.45E-05	0.00275858
0.0547577	0.000684498	2.38E-05	0.00285765
0.0567196	0.000649447	2.45E-05	0.00296029
0.0587518	0.000624877	2.08E-05	0.00306664
0.0608568	0.000723817	2.28E-05	0.00317684
0.0630372	0.000856862	2.35E-05	0.00329102
0.0652957	0.000779223	2.13E-05	0.00340934
0.0676352	0.000678525	1.93E-05	0.00353195
0.0700585	0.000618855	1.74E-05	0.00365901
0.0725686	0.000624539	1.78E-05	0.00379069
0.0751686	0.000549107	1.72E-05	0.00392715
0.0778618	0.000411964	1.44E-05	0.00406859
0.0806515	0.000324285	1.30E-05	0.00421517
0.0835411	0.000233314	1.04E-05	0.00436711
0.0865343	0.000178204	9.70E-06	0.0045246
0.0896347	0.000157514	1.04E-05	0.00468785
0.0928462	0.000120863	1.04E-05	0.00485709
