#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   3.69921631   0.00000000
 32.30269189   3.69921631   0.00000000
 32.30269189   6.37287284   0.00000000
 44.40260496   6.37287284   0.00000000
 44.40260496   3.69921631   0.00000000
 80.30227108   3.69921631   0.00000000
 80.30227108   6.37287284   0.00000000
 91.20244824   6.37287284   0.00000000
 91.20244824   3.69921631   0.00000000
127.10144304   3.69921631   0.00000000
127.10144304   6.37287284   0.00000000
139.19672168   6.37287284   0.00000000
139.19672168   3.69921631   0.00000000
175.09576708   3.69921631   0.00000000
175.09576708   6.37287284   0.00000000
185.99604057   6.37287284   0.00000000
185.99604057   3.69921631   0.00000000
221.89582241   3.69921631   0.00000000
221.89582241   6.37287284   0.00000000
233.99516434   6.37287284   0.00000000
233.99516434   3.69921631   0.00000000
269.89482010   3.69921631   0.00000000
269.89482010   6.37287284   0.00000000
273.54564970   6.37287284   0.00000000
273.54564970   3.69921631   0.00000000
309.44461393   3.69921631   0.00000000
309.44461393   6.37287284   0.00000000
313.49441326   6.37287284   0.00000000
313.49441326   3.69921631   0.00000000
349.05439918   3.69921631   0.00000000
349.05439918   6.37287284   0.00000000
353.10378558   6.37287284   0.00000000
353.10378558   3.69921631   0.00000000
389.00178459   3.69921631   0.00000000
389.00178459   6.37287284   0.00000000
393.05145090   6.37287284   0.00000000
393.05145090   3.69921631   0.00000000
428.94691515   3.69921631   0.00000000
428.94691515   6.37287284   0.00000000
432.99621132   6.37287284   0.00000000
432.99621132   3.69921631   0.00000000
468.88968613   3.69921631   0.00000000
468.88968613   6.37287284   0.00000000
480.98934018   6.37287284   0.00000000
480.98934018   3.69921631   0.00000000
516.88866014   3.69921631   0.00000000
516.88866014   6.37287284   0.00000000
527.78901753   6.37287284   0.00000000
527.78901753   3.69921631   0.00000000
560.09991605   3.69921631   0.00000000
560.09991605   6.37287284   0.00000000
572.19749476   6.37287284   0.00000000
572.19749476   3.69921631   0.00000000
608.09748664   3.69921631   0.00000000
608.09748664   6.37287284   0.00000000
619.00047977   6.37287284   0.00000000
619.00047977   3.69921631   0.00000000
651.30059163   3.69921631   0.00000000
651.30059163   6.37287284   0.00000000
663.40052169   6.37287284   0.00000000
663.40052169   0.00000000   0.00000000
673.40052169   0.00000000   0.00000000
