Q (1/A)	 RefPolCorr	 DRefPolCorr	 dq(FWHM, 1/A)
0.0105777	 1.0662	 0.171784	 0.000632028
0.0109542	 0.978321	 0.109854	 0.000654517
0.0113441	 1.06426	 0.0825939	 0.000677807
0.0117478	 1.05265	 0.0671389	 0.000701925
0.012166	 0.999296	 0.0530588	 0.000726901
0.012599	 0.990564	 0.045288	 0.000752765
0.0130475	 0.808493	 0.0344999	 0.00077955
0.0135119	 0.543349	 0.0226182	 0.000807287
0.0139928	 0.409986	 0.017438	 0.000836011
0.0144909	 0.317421	 0.013501	 0.000865757
0.0150067	 0.264656	 0.0113372	 0.000896561
0.0155408	 0.190152	 0.0083828	 0.000928461
0.016094	 0.156872	 0.00675567	 0.000961496
0.0166669	 0.121618	 0.00557133	 0.000995706
0.0172601	 0.087745	 0.00443033	 0.00103113
0.0178745	 0.0723775	 0.00370313	 0.00106782
0.0185107	 0.0633506	 0.00323133	 0.00110581
0.0191696	 0.0635724	 0.00309382	 0.00114516
0.0198519	 0.0584241	 0.0027753	 0.0011859
0.0205585	 0.0509779	 0.00244889	 0.0012281
0.0212903	 0.044844	 0.00225308	 0.00127179
0.0220481	 0.0373664	 0.00198053	 0.00131704
0.0228328	 0.0229801	 0.00154824	 0.0013639
0.0236456	 0.0139911	 0.00124457	 0.00141243
0.0244872	 0.0108177	 0.00108961	 0.00146268
0.0253588	 0.00606943	 0.000907886	 0.00151472
0.0262614	 0.00467326	 0.000860911	 0.00156862
0.0271962	 0.00418577	 0.000812647	 0.00162443
0.0281642	 0.00452846	 0.00084315	 0.00168223
0.0291667	 0.00517691	 0.000872653	 0.00174209
0.0302048	 0.00488943	 0.00086593	 0.00180407
0.03128	 0.00386062	 0.000820561	 0.00186827
0.0323933	 0.00316845	 0.000887196	 0.00193475
0.0335464	 0.00193343	 0.000871037	 0.0020036
0.0347404	 0.00194626	 0.000806375	 0.0020749
0.035977	 0.00267263	 0.000815758	 0.00214874
0.0372575	 0.00184008	 0.000788607	 0.00222521
0.0385837	 0.00120746	 0.000733829	 0.0023044
0.039957	 0.00160594	 0.000769375	 0.00238642
0.0413793	 0.000868361	 0.000739141	 0.00247136
0.0428521	 0.00122967	 0.00075816	 0.00255933
0.0443774	 0.00116663	 0.000808634	 0.00265044
0.045957	 0.00183806	 0.00091998	 0.0027448
0.0475928	 0.00138867	 0.000957517	 0.00284252
0.0492868	 0.000914731	 0.000962456	 0.00294374
0.0510411	 0.000150689	 0.000968668	 0.00304856
0.0528579	 0.00022059	 0.00105431	 0.00315714
