Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.0103949	 -0.00225382	 0.0556154	 0.000627304
0.0107649	 0	 0.0324638	 0.000649626
0.0111481	 -0.000300137	 0.0195786	 0.000672741
0.0115449	 0.0040962	 0.0138594	 0.000696679
0.0119558	 -0.000963421	 0.00983736	 0.000721468
0.0123814	 0.00177729	 0.0076261	 0.00074714
0.0128221	 1.41283e-05	 0.00583443	 0.000773724
0.0132785	 0.001805	 0.00439621	 0.000801254
0.0137511	 0.00117946	 0.00381865	 0.000829764
0.0142406	 0.00110212	 0.00307891	 0.000859288
0.0147475	 0.000384106	 0.00266642	 0.000889862
0.0152724	 0.00160232	 0.00215274	 0.000921524
0.015816	 0.000537442	 0.00172082	 0.000954312
0.0163789	 4.81496e-05	 0.0015036	 0.000988267
0.0169619	 0.000199022	 0.00128873	 0.00102343
0.0175657	 0.000548777	 0.00108075	 0.00105984
0.0181909	 4.21527e-05	 0.00100272	 0.00109755
0.0188384	 0.000344599	 0.000877088	 0.0011366
0.0195089	 7.31783e-06	 0.000796763	 0.00117704
0.0202033	 0.000635755	 0.000675311	 0.00121892
0.0209225	 0.000758519	 0.000667282	 0.00126229
0.0216672	 0.000487289	 0.000592123	 0.0013072
0.0224384	 0.000512266	 0.000534046	 0.00135371
0.0232371	 0.000333615	 0.000487777	 0.00140188
0.0240642	 0.000497085	 0.000465228	 0.00145176
0.0249207	 0.000255558	 0.000442578	 0.00150341
0.0258078	 0.000189517	 0.000433928	 0.0015569
0.0267264	 0.000408043	 0.000419692	 0.0016123
0.0276777	 0.000355016	 0.000420075	 0.00166967
0.0286628	 0.00042362	 0.000424167	 0.00172908
0.0296831	 0.000301658	 0.000429015	 0.0017906
0.0307396	 0.000158375	 0.000434002	 0.00185432
0.0318337	 0.000242427	 0.000489862	 0.0019203
0.0329668	 0.000310088	 0.000505084	 0.00198864
0.0341403	 6.93696e-05	 0.000455904	 0.00205941
0.0353555	 0.000245522	 0.000459308	 0.0021327
0.0366139	 0.000220666	 0.000456923	 0.0022086
0.0379171	 0.00018981	 0.000440101	 0.0022872
0.0392668	 0.000168237	 0.00044627	 0.0023686
0.0406644	 9.36808e-05	 0.000445254	 0.00245291
0.0421119	 0.000145834	 0.000451781	 0.00254023
0.0436108	 0.000416166	 0.000489958	 0.00263065
0.0451631	 0.00019559	 0.000549724	 0.00272431
0.045561	 6.2941e-05	 0.00058706	 0.00237946
0.0471827	 6.3105e-05	 0.000479055	 0.00246429
0.0488621	 7.16354e-06	 0.000401366	 0.00255216
0.0506013	 4.61757e-05	 0.000335395	 0.00264317
0.0524024	 7.06318e-05	 0.000282465	 0.00273745
0.0542676	 7.78945e-05	 0.000240537	 0.00283511
0.0561992	 5.0831e-05	 0.000207601	 0.00293627
0.0581996	 5.10407e-05	 0.000182755	 0.00304107
0.0602711	 5.66507e-05	 0.00016294	 0.00314963
0.0624164	 3.85718e-05	 0.000146061	 0.00326209
0.0646381	 2.47853e-05	 0.000131329	 0.0033786
0.0669388	 3.19155e-05	 0.000119211	 0.00349931
0.0693215	 -2.3225e-06	 0.000110337	 0.00362436
0.0717889	 6.76182e-05	 0.000102768	 0.00375393
0.0743442	 2.46244e-05	 9.58748e-05	 0.00388818
0.0769904	 3.81357e-05	 8.96628e-05	 0.00402728
0.0797308	 1.48116e-05	 8.69916e-05	 0.00417142
0.0825687	 1.86527e-05	 8.36254e-05	 0.00432078
0.0855077	 1.84412e-05	 8.04152e-05	 0.00447556
0.0885513	 4.6507e-05	 8.37393e-05	 0.00463597
0.0917032	 6.52286e-06	 8.26731e-05	 0.00480223
0.0949673	 2.67144e-05	 8.36546e-05	 0.00497454
0.0983476	 6.92242e-06	 8.39717e-05	 0.00515315
0.101848	 4.91394e-05	 9.61732e-05	 0.0053383
0.105473	 1.74343e-05	 9.62757e-05	 0.00553025
0.109228	 8.00275e-06	 9.10422e-05	 0.00572925
0.113115	 4.00069e-05	 9.03394e-05	 0.00593558
0.117142	 6.58255e-05	 9.05187e-05	 0.00614954
0.121311	 0.000101243	 9.14849e-05	 0.00637143
0.125629	 7.39299e-05	 9.27817e-05	 0.00660156
0.130101	 0.000177233	 9.67729e-05	 0.00684026
0.134732	 0.000145306	 9.85567e-05	 0.0070879
0.139527	 3.43346e-05	 9.63536e-05	 0.00734482
0.144494	 0.000141862	 0.000113348	 0.00761142
0.149637	 7.29837e-05	 0.000116953	 0.00788811
0.154963	 3.45361e-05	 0.000117371	 0.00817529
0.160479	 -7.50994e-06	 0.000125435	 0.00847343
0.166191	 1.52694e-05	 0.000134998	 0.008783
