#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   3.70258689   0.00000000
 34.44998146   3.70258689   0.00000000
 34.44998146   6.36069947   0.00000000
 46.54991731   6.36069947   0.00000000
 46.54991731   3.70258689   0.00000000
 80.99989877   3.70258689   0.00000000
 80.99989877   6.36069947   0.00000000
 93.09983461   6.36069947   0.00000000
 93.09983461   3.70258689   0.00000000
127.54981607   3.70258689   0.00000000
127.54981607   6.36069947   0.00000000
139.64975192   6.36069947   0.00000000
139.64975192   3.70258689   0.00000000
174.09973338   3.70258689   0.00000000
174.09973338   6.36069947   0.00000000
186.19966922   6.36069947   0.00000000
186.19966922   3.70258689   0.00000000
220.64965068   3.70258689   0.00000000
220.64965068   6.36069947   0.00000000
232.74958653   6.36069947   0.00000000
232.74958653   3.70258689   0.00000000
267.19951107   3.70258689   0.00000000
267.19951107   6.36069947   0.00000000
271.24950255   6.36069947   0.00000000
271.24950255   3.70258689   0.00000000
305.69942709   3.70258689   0.00000000
305.69942709   6.36069947   0.00000000
309.74941857   6.36069947   0.00000000
309.74941857   3.70258689   0.00000000
344.19934311   3.70258689   0.00000000
344.19934311   6.36069947   0.00000000
348.24933459   6.36069947   0.00000000
348.24933459   3.70258689   0.00000000
382.69925913   3.70258689   0.00000000
382.69925913   6.36069947   0.00000000
386.74925060   6.36069947   0.00000000
386.74925060   3.70258689   0.00000000
421.19917515   3.70258689   0.00000000
421.19917515   6.36069947   0.00000000
425.24916662   6.36069947   0.00000000
425.24916662   3.70258689   0.00000000
459.69914808   3.70258689   0.00000000
459.69914808   6.36069947   0.00000000
471.79908393   6.36069947   0.00000000
471.79908393   3.70258689   0.00000000
506.24906539   3.70258689   0.00000000
506.24906539   6.36069947   0.00000000
518.34900123   6.36069947   0.00000000
518.34900123   3.70258689   0.00000000
552.79898270   3.70258689   0.00000000
552.79898270   6.36069947   0.00000000
564.89891854   6.36069947   0.00000000
564.89891854   3.70258689   0.00000000
599.34890000   3.70258689   0.00000000
599.34890000   6.36069947   0.00000000
611.44883585   6.36069947   0.00000000
611.44883585   3.70258689   0.00000000
645.89881731   3.70258689   0.00000000
645.89881731   6.36069947   0.00000000
657.99875315   6.36069947   0.00000000
657.99875315   0.00000000   0.00000000
667.99875315   0.00000000   0.00000000
