#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   3.27800781   0.00000000
 40.99082855   3.27800781   0.00000000
 40.99082855   8.07887247   0.00000000
 54.33605620   8.07887247   0.00000000
 54.33605620   3.27800781   0.00000000
 95.33167453   3.27800781   0.00000000
 95.33167453   8.07887247   0.00000000
104.53392638   8.07887247   0.00000000
104.53392638   3.27800781   0.00000000
145.52233177   3.27800781   0.00000000
145.52233177   8.07887247   0.00000000
156.51152644   8.07887247   0.00000000
156.51152644   3.27800781   0.00000000
194.07889147   3.27800781   0.00000000
194.07889147   8.07887247   0.00000000
203.35790831   8.07887247   0.00000000
203.35790831   3.27800781   0.00000000
244.34601828   3.27800781   0.00000000
244.34601828   8.07887247   0.00000000
254.22118577   8.07887247   0.00000000
254.22118577   3.27800781   0.00000000
289.52081390   3.27800781   0.00000000
289.52081390   8.07887247   0.00000000
294.21053419   8.07887247   0.00000000
294.21053419   3.27800781   0.00000000
326.86460791   3.27800781   0.00000000
326.86460791   8.07887247   0.00000000
331.56130991   8.07887247   0.00000000
331.56130991   3.27800781   0.00000000
358.71097262   3.27800781   0.00000000
358.71097262   8.07887247   0.00000000
363.40964316   8.07887247   0.00000000
363.40964316   3.27800781   0.00000000
390.41350881   3.27800781   0.00000000
390.41350881   8.07887247   0.00000000
395.10984002   8.07887247   0.00000000
395.10984002   3.27800781   0.00000000
422.15104474   3.27800781   0.00000000
422.15104474   8.07887247   0.00000000
426.82870972   8.07887247   0.00000000
426.82870972   3.27800781   0.00000000
467.79677018   3.27800781   0.00000000
467.79677018   8.07887247   0.00000000
481.59028132   8.07887247   0.00000000
481.59028132   3.27800781   0.00000000
522.58543178   3.27800781   0.00000000
522.58543178   8.07887247   0.00000000
531.78819834   8.07887247   0.00000000
531.78819834   3.27800781   0.00000000
563.55939876   3.27800781   0.00000000
563.55939876   8.07887247   0.00000000
575.03457060   8.07887247   0.00000000
575.03457060   3.27800781   0.00000000
616.03277515   3.27800781   0.00000000
616.03277515   8.07887247   0.00000000
625.60685954   8.07887247   0.00000000
625.60685954   3.27800781   0.00000000
652.60837878   3.27800781   0.00000000
652.60837878   8.07887247   0.00000000
666.40761783   8.07887247   0.00000000
666.40761783   0.00000000   0.00000000
676.40761783   0.00000000   0.00000000
