#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   3.40016413   0.00000000
 38.40964408   3.40016413   0.00000000
 38.40964408   7.63442549   0.00000000
 52.15329435   7.63442549   0.00000000
 52.15329435   3.40016413   0.00000000
 93.11873128   3.40016413   0.00000000
 93.11873128   7.63442549   0.00000000
102.39084338   7.63442549   0.00000000
102.39084338   3.40016413   0.00000000
143.13280530   3.40016413   0.00000000
143.13280530   7.63442549   0.00000000
154.34596684   7.63442549   0.00000000
154.34596684   3.40016413   0.00000000
193.24937931   3.40016413   0.00000000
193.24937931   7.63442549   0.00000000
202.63256972   7.63442549   0.00000000
202.63256972   3.40016413   0.00000000
243.56501569   3.40016413   0.00000000
243.56501569   7.63442549   0.00000000
254.18724723   7.63442549   0.00000000
254.18724723   3.40016413   0.00000000
291.62466896   3.40016413   0.00000000
291.62466896   7.63442549   0.00000000
295.79239491   7.63442549   0.00000000
295.79239491   3.40016413   0.00000000
329.36828583   3.40016413   0.00000000
329.36828583   7.63442549   0.00000000
334.03343451   7.63442549   0.00000000
334.03343451   3.40016413   0.00000000
363.83708029   3.40016413   0.00000000
363.83708029   7.63442549   0.00000000
368.51779619   7.63442549   0.00000000
368.51779619   3.40016413   0.00000000
395.75084381   3.40016413   0.00000000
395.75084381   7.63442549   0.00000000
400.37378063   7.63442549   0.00000000
400.37378063   3.40016413   0.00000000
437.18882591   3.40016413   0.00000000
437.18882591   7.63442549   0.00000000
441.01835569   7.63442549   0.00000000
441.01835569   3.40016413   0.00000000
470.54988382   3.40016413   0.00000000
470.54988382   7.63442549   0.00000000
484.27213912   7.63442549   0.00000000
484.27213912   3.40016413   0.00000000
525.25539652   3.40016413   0.00000000
525.25539652   7.63442549   0.00000000
534.51564796   7.63442549   0.00000000
534.51564796   3.40016413   0.00000000
562.22129020   3.40016413   0.00000000
562.22129020   7.63442549   0.00000000
573.22478470   7.63442549   0.00000000
573.22478470   3.40016413   0.00000000
614.19894914   3.40016413   0.00000000
614.19894914   7.63442549   0.00000000
623.77664429   7.63442549   0.00000000
623.77664429   3.40016413   0.00000000
650.79548273   3.40016413   0.00000000
650.79548273   7.63442549   0.00000000
664.57824226   7.63442549   0.00000000
664.57824226   0.00000000   0.00000000
674.57824226   0.00000000   0.00000000
