#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   3.69921631   0.00000000
 34.44997102   3.69921631   0.00000000
 34.44997102   6.37287284   0.00000000
 46.54966008   6.37287284   0.00000000
 46.54966008   3.69921631   0.00000000
 80.99963110   3.69921631   0.00000000
 80.99963110   6.37287284   0.00000000
 93.09932016   6.37287284   0.00000000
 93.09932016   3.69921631   0.00000000
127.54929118   3.69921631   0.00000000
127.54929118   6.37287284   0.00000000
139.64898024   6.37287284   0.00000000
139.64898024   3.69921631   0.00000000
174.09895126   3.69921631   0.00000000
174.09895126   6.37287284   0.00000000
186.19864031   6.37287284   0.00000000
186.19864031   3.69921631   0.00000000
220.64861134   3.69921631   0.00000000
220.64861134   6.37287284   0.00000000
232.74830039   6.37287284   0.00000000
232.74830039   3.69921631   0.00000000
267.19819884   3.69921631   0.00000000
267.19819884   6.37287284   0.00000000
271.24813224   6.37287284   0.00000000
271.24813224   3.69921631   0.00000000
305.69803068   3.69921631   0.00000000
305.69803068   6.37287284   0.00000000
309.74796408   6.37287284   0.00000000
309.74796408   3.69921631   0.00000000
344.19786252   3.69921631   0.00000000
344.19786252   6.37287284   0.00000000
348.24779593   6.37287284   0.00000000
348.24779593   3.69921631   0.00000000
382.69769437   3.69921631   0.00000000
382.69769437   6.37287284   0.00000000
386.74762777   6.37287284   0.00000000
386.74762777   3.69921631   0.00000000
421.19752621   3.69921631   0.00000000
421.19752621   6.37287284   0.00000000
425.24745961   6.37287284   0.00000000
425.24745961   3.69921631   0.00000000
459.69743063   3.69921631   0.00000000
459.69743063   6.37287284   0.00000000
471.79711969   6.37287284   0.00000000
471.79711969   3.69921631   0.00000000
506.24709071   3.69921631   0.00000000
506.24709071   6.37287284   0.00000000
518.34677977   6.37287284   0.00000000
518.34677977   3.69921631   0.00000000
552.79675079   3.69921631   0.00000000
552.79675079   6.37287284   0.00000000
564.89643985   6.37287284   0.00000000
564.89643985   3.69921631   0.00000000
599.34641087   3.69921631   0.00000000
599.34641087   6.37287284   0.00000000
611.44609993   6.37287284   0.00000000
611.44609993   3.69921631   0.00000000
645.89607095   3.69921631   0.00000000
645.89607095   6.37287284   0.00000000
657.99576001   6.37287284   0.00000000
657.99576001   0.00000000   0.00000000
667.99576001   0.00000000   0.00000000
