#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   2.99200346   0.00000000
 40.99314866   2.99200346   0.00000000
 40.99314866   7.69534744   0.00000000
 50.30096365   7.69534744   0.00000000
 50.30096365   2.99200346   0.00000000
 91.28576688   2.99200346   0.00000000
 91.28576688   7.69534744   0.00000000
100.62359783   7.69534744   0.00000000
100.62359783   2.99200346   0.00000000
141.39477719   2.99200346   0.00000000
141.39477719   7.69534744   0.00000000
151.02002567   7.69534744   0.00000000
151.02002567   2.99200346   0.00000000
184.36960539   2.99200346   0.00000000
184.36960539   7.69534744   0.00000000
193.78794718   7.69534744   0.00000000
193.78794718   2.99200346   0.00000000
234.74832044   2.99200346   0.00000000
234.74832044   7.69534744   0.00000000
244.24465822   7.69534744   0.00000000
244.24465822   2.99200346   0.00000000
284.44716291   2.99200346   0.00000000
284.44716291   7.69534744   0.00000000
288.86859523   7.69534744   0.00000000
288.86859523   2.99200346   0.00000000
317.51545545   2.99200346   0.00000000
317.51545545   7.69534744   0.00000000
322.13190438   7.69534744   0.00000000
322.13190438   2.99200346   0.00000000
350.07062048   2.99200346   0.00000000
350.07062048   7.69534744   0.00000000
354.76193618   7.69534744   0.00000000
354.76193618   2.99200346   0.00000000
382.66032329   2.99200346   0.00000000
382.66032329   7.69534744   0.00000000
387.35813342   7.69534744   0.00000000
387.35813342   2.99200346   0.00000000
414.96155817   2.99200346   0.00000000
414.96155817   7.69534744   0.00000000
419.21562496   7.69534744   0.00000000
419.21562496   2.99200346   0.00000000
446.98427504   2.99200346   0.00000000
446.98427504   7.69534744   0.00000000
460.74210937   7.69534744   0.00000000
460.74210937   2.99200346   0.00000000
501.74072812   2.99200346   0.00000000
501.74072812   7.69534744   0.00000000
513.29087751   7.69534744   0.00000000
513.29087751   2.99200346   0.00000000
540.70480769   2.99200346   0.00000000
540.70480769   7.69534744   0.00000000
554.12204949   7.69534744   0.00000000
554.12204949   2.99200346   0.00000000
595.08317987   2.99200346   0.00000000
595.08317987   7.69534744   0.00000000
607.38126195   7.69534744   0.00000000
607.38126195   2.99200346   0.00000000
634.73697945   2.99200346   0.00000000
634.73697945   7.69534744   0.00000000
648.52472250   7.69534744   0.00000000
648.52472250   0.00000000   0.00000000
658.52472250   0.00000000   0.00000000
