#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0     283.935009777812
                34.1                    2                  3.7                    0                    1     283.935009777812
                11.5                    2                6.359                    0                  0.3     283.443795596864
                34.1                    2                  3.7                    0                    1     281.978900582316
                11.5                    2                6.359                    0                  0.3     307.852869428585
                34.1                    2                  3.7                    0                    1     244.470412581448
                11.5                    2                6.359                    0                  0.3     210.000015382592
                34.1                    2                  3.7                    0                    1     329.999998228977
                11.5                    2                6.359                    0                  0.3     329.988468028094
                34.1                    2                  3.7                    0                    1     270.856367225344
                11.5                    2                6.359                    0                  0.3     210.000898625733
                34.1                    2                  3.7                    0                    1     210.000019721159
    3.85000000000002                    2                6.359                    0                  0.3     329.740868533424
                34.1                    2                  3.7                    0                    1     327.853014920761
    3.85000000000002                    2                6.359                    0                  0.3     210.308289455814
                34.1                    2                  3.7                    0                    1     328.775070147968
    3.84999999999997                    2                6.359                    0                  0.3     210.421882067127
                34.1                    2                  3.7                    0                    1     210.057998253762
    3.85000000000002                    2                6.359                    0                  0.3     210.027911884749
                34.1                    2                  3.7                    0                    1     329.999093898498
    3.85000000000002                    2                6.359                    0                  0.3     210.017611666324
                34.1                    2                  3.7                    0                    1     210.000002642847
                11.5                    2                6.359                    0                  0.3     329.990342456394
                34.1                    2                  3.7                    0                    1     329.981936997012
    11.4999999999999                    2                6.359                    0                  0.3     210.003519228681
                34.1                    2                  3.7                    0                    1     329.981171569522
                11.5                    2                6.359                    0                  0.3     210.007171142444
                34.1                    2                  3.7                    0                    1     329.999436853716
                11.5                    2                6.359                    0                  0.3     329.880522947362
                34.1                    2                  3.7                    0                    1     210.020254212804
                11.5                    2                6.359                    0                  0.3     320.231070421308
                   0                    0                    0                    0                    0     320.231070421308
